"","SITE","NDSI_select","BIO_select","ANT_select","ACI_select","ADI_select","AEI_select","BI_select","MEAN_NDVI","MEAN_NDBI","Buffer"
"24","Eagle Lake",0.54065428922381,1.64804171204875,0.443051401237246,7859.92350667718,0.799081928104575,0.762739647058824,8.71275494019341,0.744939394,-0.328264443,3000
"25","Flat Rocks",0.55093336092171,1.61812672384315,0.476895574038951,7839.14254978635,1.02805898611111,0.730141527777778,10.1411353540341,0.811210031,-0.326043784,500
"26","Flat Rocks",0.55093336092171,1.61812672384315,0.476895574038951,7839.14254978635,1.02805898611111,0.730141527777778,10.1411353540341,0.811103159,-0.327100034,1000
"27","Flat Rocks",0.55093336092171,1.61812672384315,0.476895574038951,7839.14254978635,1.02805898611111,0.730141527777778,10.1411353540341,0.781576792,-0.305391384,1500
"28","Flat Rocks",0.55093336092171,1.61812672384315,0.476895574038951,7839.14254978635,1.02805898611111,0.730141527777778,10.1411353540341,0.755502108,-0.289553286,2000
"29","Flat Rocks",0.55093336092171,1.61812672384315,0.476895574038951,7839.14254978635,1.02805898611111,0.730141527777778,10.1411353540341,0.748757497,-0.283112024,2500
"30","Flat Rocks",0.55093336092171,1.61812672384315,0.476895574038951,7839.14254978635,1.02805898611111,0.730141527777778,10.1411353540341,0.738834921,-0.274748518,3000
"31","Lake Wampanoag",0.636924459434306,1.64479624731759,0.349479925590228,7739.91768427658,0.947472319444444,0.766087930555556,7.66688105097717,0.784617398,-0.271790263,500
"32","Lake Wampanoag",0.636924459434306,1.64479624731759,0.349479925590228,7739.91768427658,0.947472319444444,0.766087930555556,7.66688105097717,0.715169438,-0.262517211,1000
"33","Lake Wampanoag",0.636924459434306,1.64479624731759,0.349479925590228,7739.91768427658,0.947472319444444,0.766087930555556,7.66688105097717,0.693723898,-0.255290597,1500
"34","Lake Wampanoag",0.636924459434306,1.64479624731759,0.349479925590228,7739.91768427658,0.947472319444444,0.766087930555556,7.66688105097717,0.694848649,-0.242962297,2000
"35","Lake Wampanoag",0.636924459434306,1.64479624731759,0.349479925590228,7739.91768427658,0.947472319444444,0.766087930555556,7.66688105097717,0.699386738,-0.239275842,2500
"36","Lake Wampanoag",0.636924459434306,1.64479624731759,0.349479925590228,7739.91768427658,0.947472319444444,0.766087930555556,7.66688105097717,0.709613361,-0.241461586,3000
"37","Leadmine Mountain",0.469039819796778,1.49892628123074,0.514198027833928,7886.1821982028,1.0099663877551,0.702853068027211,9.55398461983024,0.903819317,-0.404351877,500
"38","Leadmine Mountain",0.469039819796778,1.49892628123074,0.514198027833928,7886.1821982028,1.0099663877551,0.702853068027211,9.55398461983024,0.888216939,-0.384706973,1000
"39","Leadmine Mountain",0.469039819796778,1.49892628123074,0.514198027833928,7886.1821982028,1.0099663877551,0.702853068027211,9.55398461983024,0.857703305,-0.370981445,1500
"40","Leadmine Mountain",0.469039819796778,1.49892628123074,0.514198027833928,7886.1821982028,1.0099663877551,0.702853068027211,9.55398461983024,0.849801832,-0.367921693,2000
"41","Leadmine Mountain",0.469039819796778,1.49892628123074,0.514198027833928,7886.1821982028,1.0099663877551,0.702853068027211,9.55398461983024,0.847210627,-0.361995507,2500
"42","Leadmine Mountain",0.469039819796778,1.49892628123074,0.514198027833928,7886.1821982028,1.0099663877551,0.702853068027211,9.55398461983024,0.845333632,-0.358024318,3000
"43","Lincoln Woods",0.182334592623249,1.11293548450602,0.677059157662768,7861.37130725619,0.898212375,0.746256319444444,8.59215753786887,0.718123926,-0.261289574,500
"44","Lincoln Woods",0.182334592623249,1.11293548450602,0.677059157662768,7861.37130725619,0.898212375,0.746256319444444,8.59215753786887,0.652352697,-0.222156273,1000
"45","Lincoln Woods",0.182334592623249,1.11293548450602,0.677059157662768,7861.37130725619,0.898212375,0.746256319444444,8.59215753786887,0.628669493,-0.206875301,1500
"46","Lincoln Woods",0.182334592623249,1.11293548450602,0.677059157662768,7861.37130725619,0.898212375,0.746256319444444,8.59215753786887,0.62117383,-0.205760936,2000
"47","Lincoln Woods",0.182334592623249,1.11293548450602,0.677059157662768,7861.37130725619,0.898212375,0.746256319444444,8.59215753786887,0.646030689,-0.222790285,2500
